id,transactionDate,merchant,transactionAmountinCents,issuerId,userId,transactionStatus
22,"{""$date"":""2022-11-17T22:33:22.000Z""}",Chevrolet,6682,27,fd5a09ee-c5ec-4aa2-99ea-9cd77c2ccd2d,APPROVED
23,"{""$date"":""2023-03-31T12:46:24.000Z""}",Mercedes-Benz,4893,15,5ab12f41-3470-48c7-b44c-5a2a3abebd7a,SETTLED
24,"{""$date"":""2023-02-12T02:07:09.000Z""}",Porsche,9480,30,eb6c674e-983a-45d8-8fb5-4861acb010c3,SETTLED
25,"{""$date"":""2022-06-21T14:18:03.000Z""}",Mazda,7528,10,2d1fb389-743b-4726-a37f-7614894c3202,SETTLED
26,"{""$date"":""2022-11-17T12:55:44.000Z""}",Dodge,290,16,508d91af-d933-465a-a727-daaee0313eab,APPROVED
27,"{""$date"":""2023-07-05T14:40:49.000Z""}",Pontiac,-7089,9,2c9cde0e-d67a-4af9-92a8-330ce442f7a5,APPROVED
28,"{""$date"":""2023-04-25T04:10:29.000Z""}",Nissan,9821,14,28831a1b-494e-4009-a59b-68b155372971,SETTLED
29,"{""$date"":""2022-07-24T00:30:27.000Z""}",Holden,7593,16,7248d78e-41f7-43ea-8477-6a8bfb9355d8,SETTLED
30,"{""$date"":""2023-05-08T18:52:53.000Z""}",,3034,25,3373c0a7-fd16-4f0d-9664-785b1786adbf,SETTLED
31,"{""$date"":""2023-02-26T00:14:14.000Z""}",Oldsmobile,7208,16,eebbf4e8-a7dd-41e0-a260-fae599ddd6c6,SETTLED
32,"{""$date"":""2023-06-26T02:06:49.000Z""}",Dodge,6830,3,13c8ce74-4214-4dca-9563-cafedf48a57a,APPROVED
33,"{""$date"":""2023-05-18T13:39:23.000Z""}",Toyota,3054,3,51ea2977-2147-4f2a-92ad-3081c81b6826,APPROVED
34,"{""$date"":""2023-05-26T05:53:21.000Z""}",Mercedes-Benz,6164,18,ad098dbd-c3d6-4af0-b3cb-bfe97385b861,SETTLED
35,"{""$date"":""2023-04-20T20:21:13.000Z""}",Dodge,7951,3,b02a177c-8742-43e7-b318-cbb9705deaba,APPROVED
36,"{""$date"":""2023-05-29T03:30:27.000Z""}",Mercury,4114,20,529b0aee-5873-406f-a820-b6c46bbe04ad,SETTLED
37,"{""$date"":""2023-07-11T05:52:11.000Z""}",Hyundai,1872,27,72075e79-a2b1-4329-8bda-4deed612a747,SETTLED
38,"{""$date"":""2022-10-06T13:20:27.000Z""}",Pontiac,7523,19,e21c1fd7-c36c-4c66-80f6-2a5e1eb79ab2,SETTLED
39,"{""$date"":""2022-06-28T08:36:34.000Z""}",Maybach,8826,25,76284ae1-7b8d-4c51-8fe9-859d2c9cc3a4,SETTLED
40,"{""$date"":""2023-07-05T12:55:22.000Z""}",Saab,8528,14,ef527129-d0a1-40b4-88c4-71b653aa4ee5,SETTLED
41,"{""$date"":""2022-07-05T11:30:49.000Z""}",Suzuki,9874,11,eddc13a9-c089-4f87-a57e-5ee738f7dd43,APPROVED
42,"{""$date"":""2023-02-08T04:34:45.000Z""}",Lexus,6424,2,7282c5e4-0e1c-45b7-92bd-66470bb1d66f,APPROVED
43,"{""$date"":""2022-06-19T22:41:46.000Z""}",Chevrolet,6763,23,e3db4ad6-652a-4207-b81b-5fd48eb25003,SETTLED
44,"{""$date"":""2022-09-02T14:15:57.000Z""}",Volkswagen,5855,15,e0002b17-e031-4f2b-817f-a43cdf3e6259,SETTLED
45,"{""$date"":""2023-04-28T01:59:20.000Z""}",Oldsmobile,1250,30,8e45552a-0d00-462d-9874-60136f829216,SETTLED
46,"{""$date"":""2023-07-02T13:14:57.000Z""}",Toyota,7960,19,384c12ee-db13-466b-b232-e2d19ad7acb7,APPROVED
47,"{""$date"":""2022-12-22T11:24:31.000Z""}",Acura,7416,23,dc8c21f8-bfde-4708-864a-5e330a8ead48,SETTLED
48,"{""$date"":""2022-06-21T04:08:35.000Z""}",Eagle,7879,14,fc92d26d-525c-4bd3-95bd-b4959b274c43,APPROVED
49,"{""$date"":""2022-06-02T23:32:36.000Z""}",,9192,22,4e8b03dd-e065-4d29-abf1-59fc8f2bc7cb,SETTLED
50,"{""$date"":""2023-03-10T03:38:19.000Z""}",Mercedes-Benz,6959,7,17e14c09-9afd-4e62-a30f-4d2f4490306d,SETTLED
51,"{""$date"":""2022-07-09T20:46:00.000Z""}",Hyundai,8475,26,65fcbed2-7602-40da-b883-974f874b922a,SETTLED
52,"{""$date"":""2022-10-14T15:53:25.000Z""}",Dodge,8695,28,aa9b54a3-847a-4088-aaeb-16be7fe407ee,APPROVED
53,"{""$date"":""2022-06-03T01:11:25.000Z""}",Pontiac,7503,13,34cf190f-81bc-4e6f-90d9-1c57632ecf7c,APPROVED
54,"{""$date"":""2023-01-03T05:38:31.000Z""}",Chevrolet,4443,23,60c50898-746e-40c6-94cf-767664dc62d6,APPROVED
55,"{""$date"":""2022-05-24T08:08:48.000Z""}",Audi,7776,7,671d5de8-060b-41b9-9880-3537e7177320,APPROVED
56,"{""$date"":""2022-12-05T11:26:05.000Z""}",Ford,4404,25,008a0c5d-a6f4-4a9d-8d67-96727347cb6f,SETTLED
57,"{""$date"":""2022-12-06T06:05:32.000Z""}",Dodge,286,27,e06ce540-6da2-4f7e-8a3f-814f4e52d5ed,SETTLED
58,"{""$date"":""2023-05-08T16:47:52.000Z""}",Buick,6179,14,69ffd359-2d80-45f5-8173-37a39633453b,SETTLED
59,"{""$date"":""2023-05-30T00:09:46.000Z""}",Ford,882,25,b48bdb71-8cf3-4936-896e-434583c50c9e,APPROVED
60,"{""$date"":""2023-02-17T12:09:46.000Z""}",Dodge,2748,21,af83f1b3-c7ba-421d-a447-005e2f941fe6,APPROVED
61,"{""$date"":""2023-03-23T22:56:58.000Z""}",Mitsubishi,4230,29,67a938bc-8f39-4a48-9e25-b7408a311e01,APPROVED
62,"{""$date"":""2022-12-19T14:48:03.000Z""}",Ford,5678,5,1e9bb262-825a-4b68-a8a4-95ddf13c2d08,APPROVED
63,"{""$date"":""2023-01-03T19:46:11.000Z""}",Toyota,3788,7,2cd54dc1-1312-4d79-8265-1f65ab1be017,SETTLED
64,"{""$date"":""2022-12-11T07:18:46.000Z""}",Jeep,2576,14,82375658-02fa-48cc-b67a-de94889f3390,APPROVED
65,"{""$date"":""2022-05-14T00:07:19.000Z""}",Ford,5269,25,3fdae673-6388-414e-a44c-9df82e3dc4ed,SETTLED
66,"{""$date"":""2023-03-23T05:26:28.000Z""}",,4686,30,fea07081-9067-4170-b9c3-ebc875001b03,SETTLED
67,"{""$date"":""2022-09-16T11:29:41.000Z""}",Nissan,4496,25,88ecfe5e-868e-479f-a9c1-04c2423b4bc1,SETTLED
68,"{""$date"":""2023-02-22T02:02:30.000Z""}",BMW,2799,3,eaaa3346-a37a-4109-b65f-064e6b76b2c6,SETTLED
69,"{""$date"":""2023-01-04T15:25:02.000Z""}",Pontiac,5035,1,d113e441-bbdd-4ef1-815e-faafc666a481,APPROVED
70,"{""$date"":""2022-10-02T23:38:56.000Z""}",Plymouth,1032,26,c2b85518-699c-452a-a806-6eaeac15d0a9,APPROVED
71,"{""$date"":""2022-07-01T09:27:54.000Z""}",Spyker,6894,3,87c518b5-b917-4fe7-b51b-97ca6d5e6587,APPROVED
72,"{""$date"":""2022-08-28T12:56:38.000Z""}",Jeep,7294,5,f8b2c7f1-28eb-424b-9bab-4be4fdad647c,APPROVED
73,"{""$date"":""2022-11-25T18:49:29.000Z""}",Nissan,2768,22,3a1295a2-0202-4d21-aeba-b5176e2068e6,APPROVED
74,"{""$date"":""2023-04-14T08:57:35.000Z""}",Ford,6347,7,92be2d0e-7717-4b9c-9358-120c930f1010,SETTLED
75,"{""$date"":""2023-06-24T16:32:03.000Z""}",Buick,6613,14,f98f5435-e5be-4d03-b779-35417cf37ebd,APPROVED
76,"{""$date"":""2022-11-14T05:26:41.000Z""}",BMW,4376,15,4a02e59d-e978-48ae-859d-2067ce463044,SETTLED
77,"{""$date"":""2022-10-09T23:18:14.000Z""}",Lexus,3030,2,3f5969d5-828a-4c68-8658-595302df53d7,APPROVED
78,"{""$date"":""2023-06-01T22:56:18.000Z""}",Aston Martin,896,20,df540c88-0b9b-462e-a560-a12daab49f02,APPROVED
79,"{""$date"":""2022-07-21T16:09:06.000Z""}",,880,21,9ac37b26-be68-4283-8e33-84ded22b88fb,APPROVED
80,"{""$date"":""2022-12-10T04:04:29.000Z""}",Mazda,9868,10,f4d50dee-ecf6-462c-9ff2-bdf9a928c7b4,SETTLED
81,"{""$date"":""2022-12-10T14:53:26.000Z""}",Chevrolet,8424,30,b84dca79-6254-481f-bfc0-aeaac754d924,APPROVED
82,"{""$date"":""2022-07-25T05:10:19.000Z""}",Lexus,7920,19,52ff66f2-9cbb-41fe-9711-11b737527f94,SETTLED
83,"{""$date"":""2023-04-06T10:33:00.000Z""}",Volkswagen,1334,14,3eb5bead-6588-4592-a53c-1cb0047ec69d,SETTLED
84,"{""$date"":""2022-06-14T16:59:35.000Z""}",GMC,1728,18,003509a8-d0ac-492c-9bde-962164a94906,SETTLED
85,"{""$date"":""2022-07-03T05:30:08.000Z""}",Chrysler,3652,9,31f963e1-844b-4339-9be5-06e715c587f6,APPROVED
86,"{""$date"":""2023-03-17T19:30:44.000Z""}",Corbin,3594,22,4abcec5b-0492-4a62-aa57-39158e76edd2,SETTLED
87,"{""$date"":""2022-09-02T13:03:02.000Z""}",Jeep,9117,30,7113af96-5395-4a82-8c87-05e1e85ae943,APPROVED
88,"{""$date"":""2022-07-11T21:48:29.000Z""}",GMC,2227,6,92914ca4-1d3f-48fc-aa41-c32421303485,APPROVED
89,"{""$date"":""2022-05-17T16:18:45.000Z""}",Mazda,450,26,7ad5bd6d-852f-4690-bce6-415247475fac,SETTLED
90,"{""$date"":""2022-06-16T11:52:03.000Z""}",Audi,9427,21,9966c531-704e-403b-af14-df198692fb44,APPROVED
91,"{""$date"":""2022-11-11T22:15:56.000Z""}",BMW,4893,25,eaf9914d-d41d-4c74-a323-891cd1276dfa,SETTLED
92,"{""$date"":""2022-11-12T11:15:52.000Z""}",Toyota,7571,15,82ea453f-bf3d-4ee2-9db9-847a5db325d8,APPROVED
93,"{""$date"":""2022-05-21T00:51:27.000Z""}",Chevrolet,9712,7,bb014766-d51c-4d9e-912d-c21c07cb6b77,APPROVED
94,"{""$date"":""2023-04-04T05:18:12.000Z""}",Mitsubishi,1360,4,9d070a4f-af93-4caa-85ad-7cefa6bb41cb,SETTLED
95,"{""$date"":""2022-05-23T14:32:46.000Z""}",Subaru,2272,7,f8dff3bc-9f0f-4c44-a421-04f7775a12aa,SETTLED
96,"{""$date"":""2022-06-19T04:26:02.000Z""}",Pontiac,2118,17,009d96de-a8c0-48d6-824d-0f1ba6285cd6,SETTLED
97,"{""$date"":""2023-03-25T11:20:37.000Z""}",Dodge,2768,16,c7e397ef-a437-4160-a52b-ed6f00ccb447,SETTLED
98,"{""$date"":""2023-03-19T04:28:50.000Z""}",Saturn,6441,9,b2d28fd9-ea54-4953-b014-fdc1548d96b8,APPROVED
99,"{""$date"":""2022-05-14T09:34:01.000Z""}",Pontiac,8293,20,05fe1a42-a80c-4329-95c5-bdd6b2b14c46,APPROVED
100,"{""$date"":""2022-05-18T20:32:52.000Z""}",Ford,7445,25,d3233005-4d6e-431e-ac2e-867e503a2846,SETTLED
101,"{""$date"":""2023-03-26T15:57:43.000Z""}",Ford,3834,25,1e2b0ff1-8bc3-4977-8a2e-7c7587d199d1,APPROVED
102,"{""$date"":""2023-06-11T08:42:28.000Z""}",,8732,12,0f6db8ff-6c10-4fbe-b1d7-b1829b9a5533,APPROVED
103,"{""$date"":""2023-04-26T15:17:39.000Z""}",Volvo,6335,12,eb1eab8e-9fe6-4e10-8304-69660ee5b951,SETTLED
104,"{""$date"":""2022-07-14T15:32:57.000Z""}",Volvo,3150,19,21801d0a-f043-4940-a14c-a793c03cf9f2,SETTLED
105,"{""$date"":""2023-02-10T13:18:08.000Z""}",Acura,5997,25,7aa77748-b5a3-4d82-86dd-692a2b5b3bf7,APPROVED
106,"{""$date"":""2023-04-07T21:24:30.000Z""}",Oldsmobile,4476,11,0b8c45d0-c1fe-4af4-8e6c-fe62e160a073,APPROVED
107,"{""$date"":""2022-07-07T08:32:51.000Z""}",Pontiac,8566,8,5fcac145-f78e-4968-b006-09f2a3b79ced,APPROVED
108,"{""$date"":""2022-10-02T06:01:01.000Z""}",Bentley,6792,15,c8acdbc8-aeb8-477e-a349-6a67b142b97e,APPROVED
109,"{""$date"":""2023-06-17T04:05:16.000Z""}",MINI,2582,25,1f16b9a2-4593-4c94-bf7f-b0bcbcc54941,APPROVED
110,"{""$date"":""2023-04-28T14:29:07.000Z""}",Isuzu,2433,30,42eeb5d6-a79f-4a91-a70d-5a989916ddb4,SETTLED
111,"{""$date"":""2023-01-24T11:10:55.000Z""}",Honda,4670,22,829d89a3-5e65-41ed-aa69-d825ce5e237d,APPROVED
112,"{""$date"":""2022-06-25T22:27:59.000Z""}",Lexus,7292,29,f74b09b0-607c-4865-a40c-c8c04d2b74e0,SETTLED
113,"{""$date"":""2022-12-07T07:31:07.000Z""}",Isuzu,792,17,371d8fa6-87d0-4712-9a43-61151aef6157,SETTLED
114,"{""$date"":""2022-09-19T17:38:45.000Z""}",Dodge,1731,16,f1e73cc0-b4c1-4d32-b9f3-49133d4dd835,SETTLED
115,"{""$date"":""2022-09-16T11:54:26.000Z""}",Buick,7713,9,42d0996f-f38b-4d29-ac1b-aa3159aff60a,SETTLED
116,"{""$date"":""2022-06-14T03:52:28.000Z""}",Dodge,1016,13,a03bbea0-2fb4-4c8c-a7dd-5ce31610b783,SETTLED
117,"{""$date"":""2022-12-09T20:25:32.000Z""}",BMW,972,9,c52a3636-4da9-457e-979d-97679668fb60,APPROVED
118,"{""$date"":""2022-09-10T17:12:24.000Z""}",Chevrolet,8672,12,4004885f-53ee-4df3-855b-57e2d5efb9a6,SETTLED
119,"{""$date"":""2022-05-11T18:21:51.000Z""}",Dodge,7117,23,d37790b0-e76a-468b-8853-87a282f19a0d,SETTLED
120,"{""$date"":""2023-04-15T02:03:04.000Z""}",Infiniti,4395,16,cffb0ff6-dfa8-4e8f-a778-d524fe2d0e28,APPROVED
121,"{""$date"":""2022-05-27T08:30:13.000Z""}",Chevrolet,2402,11,ac081057-22e3-4eb0-b503-4f8f17ff8c23,SETTLED
122,"{""$date"":""2022-12-24T08:05:11.000Z""}",Hyundai,3968,25,a691df61-452b-4225-9c35-ebe848ed1fa0,APPROVED
123,"{""$date"":""2022-06-11T04:58:22.000Z""}",Volkswagen,1097,27,25624d91-5404-422e-93a7-c93057b85ae2,SETTLED
124,"{""$date"":""2023-02-08T10:09:55.000Z""}",Buick,6532,23,21287ad7-05b7-4f03-804c-86ba61f3d2b8,SETTLED
125,"{""$date"":""2023-03-20T01:12:30.000Z""}",GMC,4909,28,21512b26-189e-451a-8db2-4d3a8efb8f54,APPROVED
126,"{""$date"":""2023-01-07T13:00:28.000Z""}",Infiniti,2955,10,f65b665a-2967-4e1c-b0dd-c801f26256b5,SETTLED
127,"{""$date"":""2023-03-30T11:53:20.000Z""}",Ford,7978,1,dfc10c06-cc95-4b65-a94a-5c1ddee98a6d,SETTLED
128,"{""$date"":""2022-08-16T10:24:04.000Z""}",Ford,1166,6,5d1e4521-7d53-4875-914f-02bc1cab739c,APPROVED
129,"{""$date"":""2022-10-07T12:07:48.000Z""}",Ferrari,9496,29,1bdb458f-808c-4d55-806f-da5f7afc9800,SETTLED
130,"{""$date"":""2022-10-11T01:47:51.000Z""}",Nissan,1834,7,5924ab42-d174-4dd9-9b88-eede0b33654b,APPROVED
131,"{""$date"":""2023-07-10T04:46:44.000Z""}",Mitsubishi,8973,3,00b46c17-2f00-4e14-b120-96910b8916a3,SETTLED
132,"{""$date"":""2022-09-17T15:19:22.000Z""}",Buick,4100,30,2a465e77-5e97-407e-bd09-fda2ef425cf5,SETTLED
133,"{""$date"":""2023-03-20T08:40:46.000Z""}",Ford,3243,18,0af82a4d-d073-4fde-8ef5-16b645179c04,SETTLED
134,"{""$date"":""2023-07-15T17:00:34.000Z""}",Toyota,6555,12,f88f0b2d-6ead-4ef1-a4cb-9d7a6626fb63,SETTLED
135,"{""$date"":""2022-12-22T11:12:28.000Z""}",Dodge,1947,25,ee0b1a4b-2e62-4e01-a1d0-587f48d9caf9,SETTLED
136,"{""$date"":""2022-07-06T03:14:15.000Z""}",Ford,7316,26,0e91259d-a491-4dab-8c71-a82de1cd709f,APPROVED
137,"{""$date"":""2023-06-16T00:40:40.000Z""}",Pontiac,6246,6,ef1ad185-d565-45e2-965f-1630a91cef04,SETTLED
138,"{""$date"":""2023-01-25T09:40:24.000Z""}",Plymouth,6977,30,94cb5e61-d5a7-4a6a-ac07-a3c0bd9a87f7,APPROVED
139,"{""$date"":""2023-05-19T01:14:43.000Z""}",BMW,4263,11,d2e73396-3171-4738-a4b7-9e70d6659cd0,SETTLED
140,"{""$date"":""2022-08-22T19:05:17.000Z""}",Volkswagen,3431,19,38e63ed3-3f4f-45bb-80d9-39ee716ad7ab,SETTLED
141,"{""$date"":""2023-06-27T04:11:53.000Z""}",GMC,1224,7,d3ab5101-eefb-4362-ab43-e0d2357b6e32,SETTLED
142,"{""$date"":""2023-04-20T13:37:39.000Z""}",Ford,1210,13,64be270e-ca55-4fa5-89f4-8dae9977d17d,APPROVED
143,"{""$date"":""2023-06-04T19:42:13.000Z""}",,1677,13,3ac9689d-9697-43b5-9486-6600543c5c90,SETTLED
144,"{""$date"":""2022-12-16T04:51:29.000Z""}",Buick,9375,11,4477feb4-7ee8-455a-b0be-157dcceffb6f,SETTLED
145,"{""$date"":""2023-04-06T03:25:23.000Z""}",Ford,6842,9,7fec3f23-b19f-4b78-895b-7dcb4f8754b4,SETTLED
146,"{""$date"":""2022-05-19T12:23:13.000Z""}",Chevrolet,3984,14,ead3fd5f-e585-4828-bbf0-94f56beeb117,SETTLED
147,"{""$date"":""2022-12-21T20:08:56.000Z""}",Chevrolet,256,4,d42265fa-3dc2-466b-b566-86596f49538c,APPROVED
148,"{""$date"":""2023-03-02T12:04:57.000Z""}",Infiniti,9942,2,b5d01cb2-6b00-476c-ba14-d37ee6485384,SETTLED
149,"{""$date"":""2023-03-10T00:03:48.000Z""}",Audi,89,22,a86445ae-93aa-43f3-b030-4b62db1b2475,APPROVED
150,"{""$date"":""2022-11-16T03:58:01.000Z""}",Volkswagen,6410,14,355f2998-7122-4fca-8413-e52b31274f8b,APPROVED
151,"{""$date"":""2022-07-25T12:56:12.000Z""}",Mazda,8983,15,64266dcf-db8c-4c61-b249-55de8de86b2a,SETTLED
152,"{""$date"":""2022-08-08T05:19:04.000Z""}",Infiniti,4555,19,b395e3ee-1b84-4563-ad75-a3d40fbfdede,APPROVED
153,"{""$date"":""2022-11-10T19:51:25.000Z""}",Suzuki,7006,8,34001271-f1ab-4e42-b5c5-8dd90f8463cc,APPROVED
154,"{""$date"":""2022-12-06T03:44:24.000Z""}",Toyota,5552,14,93fc5361-e93a-4147-b3ac-815eef3dc204,APPROVED
155,"{""$date"":""2022-07-04T14:27:48.000Z""}",Dodge,3769,29,e8fa07fb-de91-4730-9499-6879572d6647,SETTLED
156,"{""$date"":""2023-01-07T23:05:44.000Z""}",Ford,8001,21,f84d70b5-193d-49fc-af1e-0bcb05b85b4f,SETTLED
157,"{""$date"":""2023-06-15T08:20:55.000Z""}",Plymouth,5168,8,4f19629b-955e-4545-8c5e-331ed15ee546,SETTLED
158,"{""$date"":""2023-03-15T03:26:48.000Z""}",GMC,337,11,4e2a8c95-4702-4624-b284-738b4d4cf878,APPROVED
159,"{""$date"":""2022-12-10T03:45:42.000Z""}",Toyota,5298,22,a54d3ff8-7d62-4b68-815f-dd87627c5c6a,SETTLED
160,"{""$date"":""2023-02-16T14:49:48.000Z""}",,198,14,ac9159c8-30d1-449f-be67-efd2ce99f964,APPROVED
161,"{""$date"":""2022-05-24T15:10:09.000Z""}",Mercedes-Benz,9638,6,8772a576-80c6-4f7b-9df6-e7343253a938,SETTLED
162,"{""$date"":""2023-04-27T05:29:39.000Z""}",Toyota,38,30,9f1ba898-9aee-4aa0-852d-1a1f9e68b178,SETTLED
163,"{""$date"":""2022-07-02T12:51:01.000Z""}",Chevrolet,6033,4,a98eb083-236b-4ca8-84f6-00cc52779ccc,APPROVED
164,"{""$date"":""2023-01-16T17:26:44.000Z""}",Mazda,6916,30,de4d0d1a-685c-4c39-b00b-7fecf4718fbf,SETTLED
165,"{""$date"":""2022-08-01T20:16:03.000Z""}",Pontiac,1437,30,19c001c4-467d-42b1-9cac-1e38cd923312,APPROVED
166,"{""$date"":""2023-05-31T14:52:47.000Z""}",Chevrolet,9612,4,183b9049-3262-44a0-83bb-dfc3c6b3e91d,SETTLED
167,"{""$date"":""2023-06-08T00:32:11.000Z""}",Mazda,6755,7,1fac380c-364d-461b-bacb-759e89344513,APPROVED
168,"{""$date"":""2022-08-22T12:27:49.000Z""}",Chevrolet,7391,6,fda68b9e-f553-4a8c-94a0-431d813a0214,APPROVED
169,"{""$date"":""2023-06-02T00:23:46.000Z""}",Nissan,4995,23,1d261cbd-7193-4c72-bad9-242fa591aa50,SETTLED
170,"{""$date"":""2022-12-02T06:23:27.000Z""}",Suzuki,954,15,f007dc3c-d044-4721-b1cc-db51c1ac7f13,APPROVED
171,"{""$date"":""2022-09-09T08:46:55.000Z""}",Pontiac,242,30,5e8608d1-07e3-4830-ac07-96c0c544de00,SETTLED
172,"{""$date"":""2022-11-12T11:51:04.000Z""}",Pontiac,5015,5,2d341ef7-2df3-48e9-a867-18abc99465c3,APPROVED
173,"{""$date"":""2022-10-19T12:41:26.000Z""}",Ford,4459,28,cee9e396-5ab3-4cac-8cb1-4ea431bceedf,APPROVED
174,"{""$date"":""2023-01-11T01:14:19.000Z""}",BMW,5431,1,42f60c0f-7412-48e5-879b-1a3a6c778230,SETTLED
175,"{""$date"":""2022-05-25T15:14:41.000Z""}",Ford,4559,27,481290b8-99d2-4495-b071-cb32e4e3e722,SETTLED
176,"{""$date"":""2023-01-22T17:23:45.000Z""}",Hyundai,1418,19,5bb10b36-2d7a-4407-ae92-fef7944f53e2,SETTLED
177,"{""$date"":""2022-05-10T19:18:26.000Z""}",BMW,1223,3,1bc89c36-504e-4989-a312-33d1509918b9,APPROVED
178,"{""$date"":""2022-05-22T19:15:39.000Z""}",Maserati,2047,29,297c0c04-6192-43fe-ad40-4d81a260c8b0,SETTLED
179,"{""$date"":""2022-09-04T20:31:52.000Z""}",Plymouth,6310,28,dc9cea90-680e-4106-a292-7552028824bd,SETTLED
180,"{""$date"":""2022-10-03T13:03:14.000Z""}",Porsche,8120,20,07958d3f-a11f-4220-b66a-0cac6b0e3c2f,SETTLED
181,"{""$date"":""2022-06-22T16:47:29.000Z""}",Maybach,8615,23,fdd9676b-b5c0-403c-b162-1f80f82a11d9,APPROVED
182,"{""$date"":""2023-02-21T10:41:48.000Z""}",Chevrolet,3980,29,ce9a7c06-778d-45ca-92e1-f0831a6ab57d,APPROVED
183,"{""$date"":""2022-05-15T15:01:38.000Z""}",Pontiac,8023,19,6d56c74d-ab61-44b1-9e61-99758a5cfebe,SETTLED
184,"{""$date"":""2022-12-10T01:25:57.000Z""}",Plymouth,6495,14,25327719-6299-48ac-b374-5a0179aa0897,SETTLED
185,"{""$date"":""2022-06-23T09:29:34.000Z""}",Chevrolet,2367,17,0efb97b7-a527-4699-a466-b607b4828eee,SETTLED
186,"{""$date"":""2023-01-06T21:52:13.000Z""}",Dodge,2823,18,d2f27147-17fd-4e65-94c2-7576e4aef3a3,APPROVED
187,"{""$date"":""2022-09-22T11:52:46.000Z""}",Mazda,4089,30,a7af99ce-f192-454e-805a-bd9eb88cbfaf,APPROVED
188,"{""$date"":""2023-05-08T14:04:14.000Z""}",Chevrolet,8592,13,b6ff4c81-d1f8-47c7-9b19-c4d80b43d9a6,APPROVED
189,"{""$date"":""2022-07-28T19:35:31.000Z""}",Toyota,8952,27,34f37316-bab4-48ab-ae91-4c3b4b8652c2,APPROVED
190,"{""$date"":""2023-06-28T08:32:49.000Z""}",Toyota,5061,18,6afb973c-b766-4f5d-86ff-01c51178dc87,SETTLED
191,"{""$date"":""2022-07-14T22:48:10.000Z""}",Volvo,8220,29,4bfee6c6-d275-4f19-a910-f92e0705774a,APPROVED
192,"{""$date"":""2023-04-30T18:04:38.000Z""}",Buick,6726,15,5ddf2dab-a4f8-4f73-8d5a-8c13509bdc0b,SETTLED
